symbol,prevprice,currprice,diffP
HJLIW,0.05,0.15,200.0
ESP.AS,0.0234,0.043,83.76
CREXW,0.28,0.5,78.57
CYBBS.PA,0.003,0.005,66.67
XELA,0.2231,0.355,59.12
THMO,7.27,11.49,58.05
CHAP,0.3101,0.4896,57.88
MTP,1.9,2.95,55.26
OSP.TO,0.65,1.0,53.85
NINE,0.95,1.45,52.63
TTI,0.327,0.4863,48.72
SUMR,2.545,3.76,47.74
PRTY,0.523,0.7585,45.03
VERBS.PA,0.0035,0.005,42.86
NESRW,0.23,0.3249,41.26
RED.LS,0.05,0.07,40.0
QEP,0.718,0.986,37.33
TBIRD.AS,0.07,0.0945,35.0
SPI,0.6901,0.93,34.76
FLAT,63.1759,85.08,34.67
OSW,4.88,6.51,33.4
VLA.PA,3.18,4.185,31.6
MARK,0.433,0.5694,31.5
BALYO.PA,0.8,1.052,31.5
NTZ,0.6398,0.84,31.29
FET,0.328,0.43,31.1
LMPX,4.7,6.15,30.85
IFRX,5.42,7.07,30.44
ROYT,0.315,0.41,30.16
OMP,4.96,6.39,28.83
ZWZZT,23.75,30.4,28.0
MRAM,2.95,3.77,27.8
HAMO.BR,1.55,1.98,27.74
CEIX,6.0,7.59,26.5
LPI,0.8625,1.09,26.38
AVEO,5.2,6.54,25.77
AGFSW,0.008,0.01,25.0
MWK,3.4,4.25,25.0
HZM.TO,0.04,0.05,25.0
LORL,17.63,22.0,24.79
BORR,0.715,0.8886,24.28
SRAX,1.86,2.3,23.66
HPR,0.2696,0.3316,23.0
SM,3.3,4.05,22.73
GCI,0.921,1.13,22.69
BSVN,8.16,10.0,22.55
KEN,16.56,20.22,22.1
GROW,1.36,1.66,22.06
XBIOW,0.69,0.84,21.74
GXE.TO,0.21,0.255,21.43
REI,0.7425,0.9013,21.39
MRKR,2.27,2.755,21.37
AR,2.46,2.98,21.14
BNGOW,0.082,0.0991,20.85
REPL,14.97,18.09,20.84
DISCB,29.6,35.75,20.78
GID.PA,0.68,0.82,20.59
CPE,0.7797,0.9397,20.52
SECO,2.64,3.18,20.45
SEEL,0.5915,0.71,20.03
TLGT,0.442,0.53,19.91
DTUL,75.1559,89.885,19.6
ALDIE.PA,0.906,1.08,19.21
NMM,7.36,8.72,18.48
CCLP,0.47,0.5559,18.28
KXIN,0.879209,1.0399,18.28
BKYI,0.99,1.17,18.18
FIPP.PA,0.176,0.208,18.18
ANDAR,0.11,0.13,18.18
OCX,2.29,2.7,17.9
SMRT,0.28,0.33,17.86
RAND,2.19,2.58,17.81
VLAP.PA,0.1015,0.1195,17.73
KRA,13.3,15.61,17.37
KOPN,0.435,0.51,17.24
XOG,0.4537,0.5296,16.73
PRQ.TO,0.12,0.14,16.67
THCBW,0.3,0.35,16.67
SONGW,0.06,0.07,16.67
HTIA,18.01,21.0,16.6
WCP.TO,1.57,1.83,16.56
GPX,6.85,7.96,16.2
PBIO,3.11,3.61,16.08
OVV,5.46,6.33,15.93
TIT.BR,0.345,0.3998,15.88
CREX,2.65,3.07,15.85
URB.TO,1.98,2.29,15.66
SBI.TO,1.47,1.7,15.65
NGVT,44.92,51.92,15.58
CRBN.AS,28.35,32.65,15.17
PHIOW,0.02,0.023,15.0
MLSML.PA,0.04,0.046,15.0
BBL-A.TO,5.0,5.75,15.0
OSS,1.41,1.62,14.89
GPOR,2.225,2.555,14.83
ALVGO.PA,11.2,12.85,14.73
GASS,2.38,2.73,14.71
ALIMR.PA,2.18,2.5,14.68
KOS,1.44,1.65,14.58
ALBDM.PA,1.51,1.73,14.57
CDEV,1.03,1.18,14.56
MIST,2.63,3.01,14.45
AVTR,14.7,16.81,14.35
SNDL,0.4985,0.57,14.34
RIG,1.12,1.28,14.29
SFCA.PA,1.4,1.6,14.29
AIRTW,0.07,0.08,14.29
ESSCR,0.1051,0.12,14.18
IMRNW,0.46,0.5251,14.15
UCO,12.83,14.63,14.03
NDRAW,0.12,0.1368,14.0
REED,0.48,0.547,13.96
FTSI,0.36,0.41,13.89
LIVX,2.24,2.55,13.84
PDS,0.4838,0.55,13.68
PD.TO,0.66,0.75,13.64
BRN,0.62,0.7045,13.63
MEDS,6.87,7.8,13.54
BESI.AS,33.13,37.56,13.37
SQBG,0.188,0.2131,13.35
HEPA,1.65,1.87,13.33
ALM.PA,1.43,1.62,13.29
SDC,6.82,7.72,13.2
IZEA,0.221,0.25,13.12
WFS.TO,1.77,2.0,12.99
ABMD,169.28,191.25,12.98
TNP.TO,0.31,0.35,12.9
JOY.TO,0.39,0.44,12.82
TRIB,1.41,1.59,12.77
HBP,1.02,1.15,12.75
ROSE,0.4045,0.456,12.73
RTW,0.277,0.3119,12.6
AXR,4.3,4.84,12.56
JDST,25.545,28.74,12.51
ENSV,0.1955,0.2198,12.43
TWNKW,0.97,1.09,12.37
SBN.TO,2.68,3.01,12.31
NXTD,0.41,0.46,12.2
KLXE,1.16,1.3,12.07
OAS,0.6288,0.7039,11.94
MDGS,2.1,2.35,11.9
LTSL,14.7,16.45,11.9
ZYXI,15.81,17.66,11.7
ALINT.PA,1.97,2.2,11.68
LLEX,0.206,0.23,11.65
BIOX,5.75,6.42,11.65
MIND,0.86,0.96,11.63
ALSPW.PA,0.0043,0.0048,11.63
ATH.TO,0.13,0.145,11.54
BNKD,18.87,21.04,11.5
SONM,0.879,0.98,11.49
VAL,0.4086,0.4555,11.48
JHG,16.06,17.9,11.46
NGL,5.43,6.05,11.42
TUP,2.89,3.22,11.42
TZA,30.16,33.6,11.41
JT,0.8798,0.98,11.39
SRTY,15.34,17.07,11.28
JAKK,0.71,0.79,11.27
GRNQ,0.3866,0.43,11.23
GBR,0.94,1.045,11.17
APDN,6.19,6.88,11.15
ONTXW,0.063,0.07,11.11
AVCTW,0.0405,0.045,11.11
LONE,0.6812,0.7565,11.05
INTG,27.88,30.95,11.01
ALIM,5.09,5.65,11.0
SMDD,20.95,23.25,10.98
ALALO.PA,0.022,0.0244,10.91
ALROC.PA,2.02,2.24,10.89
MESA,4.1,4.545,10.85
ASTC,2.68,2.97,10.82
APY.TO,2.6,2.88,10.77
SOXS,8.45,9.35,10.65
AINC,8.45,9.35,10.65
OSE.PA,5.3,5.86,10.57
NEON,4.75,5.25,10.53
SUNW,0.44811,0.494,10.24
ALNOX.PA,0.549,0.605,10.2
DAN,10.44,11.5,10.15
TGA,0.5629,0.62,10.14
ORN,2.29,2.52,10.04
DUST,31.68,34.85,10.01
INTT,3.2,3.52,10.0
UGAZ,26.31,28.94,10.0
ALEUP.PA,0.001,0.0011,10.0
ORE.LS,0.1,0.11,10.0
ALACR,0.1,0.11,10.0
OPTT,0.406,0.4463,9.93
SPUS,19.4182,21.34,9.9
BNO,6.39,7.02,9.86
EYESW,0.071,0.078,9.86
ALFBA.PA,0.31,0.34,9.68
GNUS,0.2823,0.3095,9.64
BZQ,25.99,28.49,9.62
ECP.PA,0.676,0.741,9.62
TUES,0.6615,0.725,9.6
TVE.TO,0.73,0.8,9.59
GKTX.PA,2.3,2.52,9.57
REXN,1.78,1.95,9.55
ME.TO,0.105,0.115,9.52
AXAS,0.2874,0.3147,9.5
HLX,2.32,2.54,9.48
BAS.BR,10.05,11.0,9.45
LAF.PA,15.9,17.4,9.43
PRPO,0.6733,0.7365,9.39
USAT,6.72,7.35,9.37
PMN.TO,0.16,0.175,9.37
MDM.PA,7.54,8.245,9.35
MVIS,0.32,0.3499,9.34
SESL.PA,22.5,24.6,9.33
INSM,21.05,23.0,9.26
NOW,321.99,351.54,9.18
ACY,1.53,1.67,9.15
EMAN,0.3288,0.3588,9.12
CNDT,2.31,2.52,9.09
HCACW,0.275,0.3,9.09
MLFTI.PA,0.11,0.12,9.09
AVL.TO,0.055,0.06,9.09
HSE.TO,4.1,4.47,9.02
MOG-B,51.91,56.5,8.84
ARDS,5.88,6.4,8.84
CAN,4.76,5.18,8.82
ALNLF.PA,0.176,0.1915,8.81
ESI.TO,0.57,0.62,8.77
TOG.TO,1.03,1.12,8.74
LPTH,2.18,2.37,8.72
ALJJ,0.515,0.5599,8.72
VERI,4.73,5.14,8.67
DSLV,16.49,17.92,8.67
SSNT,2.2,2.39,8.64
SDD,12.2,13.2454,8.57
VLE.TO,0.35,0.38,8.57
TKAT,1.41,1.53,8.51
WVVI,5.99,6.5,8.51
ALICR.PA,1.41,1.53,8.51
LGT-B.TO,27.65,30.0,8.5
ALTXC.PA,6.0,6.5,8.33
IPO.TO,0.12,0.13,8.33
HIBS,15.36,16.64,8.33
PACD,0.5916,0.6408,8.32
YANG,36.53,39.56,8.29
FBSS,13.57,14.69,8.25
RJN,0.98,1.06,8.16
SFBS.PA,184.0,199.0,8.15
KEL.TO,1.48,1.6,8.11
WTRH,1.24,1.34,8.06
POAI,1.37,1.48,8.03
CPSH,1.0,1.08,8.0
WRG.TO,0.25,0.27,8.0
EXTN,6.3,6.8,7.94
COM.PA,12.6,13.6,7.94
HGD.TO,5.45,5.88,7.89
AUP.TO,22.39,24.15,7.86
HHS,1.91,2.06,7.85
QUIK,4.36,4.7,7.8
HEF.TO,6.15,6.63,7.8
VRAY,1.93,2.08,7.77
PLSE,10.42,11.23,7.77
PPSI,1.16,1.25,7.76
EVSI,7.47,8.05,7.76
MPAA,13.21,14.23,7.72
ACAN.PA,0.403,0.434,7.69
BKI.TO,0.065,0.07,7.69
PAACR,0.1672,0.18,7.66
JHX,13.52,14.55,7.62
MOBL,4.73,5.09,7.61
UMRX,0.4,0.43,7.5
CCR,5.08,5.46,7.48
LABD,6.43,6.91,7.47
BALTA.BR,1.21,1.3,7.44
TWM,12.78,13.73,7.43
ISIG,0.67,0.7198,7.43
LEAF,1.35,1.45,7.41
XTC.TO,6.07,6.52,7.41
FHF.TO,22.17,23.81,7.4
QMCO,4.19,4.5,7.4
BBQ,2.51,2.695,7.37
USL,9.93,10.66,7.35
LTSF,15.0,16.1,7.33
OCC,2.47,2.65,7.29
ARYN.SW,0.3628,0.3892,7.28
AMS,1.65,1.77,7.27
NH,2.76,2.96,7.25
DLPN,0.485,0.52,7.22
GSP,6.23,6.68,7.22
EQS,1.11,1.19,7.21
BCEI,16.29,17.46,7.18
CPG.TO,1.81,1.94,7.18
KRN.TO,0.14,0.15,7.14
SCY.TO,0.07,0.075,7.14
ZAR.TO,0.07,0.075,7.14
CVM,16.43,17.6,7.12
BGFV,1.28,1.37,7.03
VET.TO,6.4,6.85,7.03
TNDM,74.57,79.78,6.99
NR,1.43,1.53,6.99
CMRX,2.15,2.3,6.98
NBR,13.77,14.73,6.97
OILK,23.29,24.91,6.96
ORL.TO,1.87,2.0,6.95
VET,4.62,4.94,6.93
NNDM,0.76,0.8127,6.93
FAZ,22.24,23.78,6.92
CPG,1.3,1.39,6.92
AX,21.56,23.05,6.91
MORN,145.89,155.96,6.9
TRN,18.05,19.29,6.87
FUMB,20.07,21.44,6.83
DXYN,0.7302,0.78,6.82
VTNR,0.543,0.5799,6.8
NHLD,1.33,1.42,6.77
AUPH,16.15,17.24,6.75
IBG.TO,4.0,4.27,6.75
FNKO,4.01,4.28,6.73
RMBL,0.34,0.3628,6.71
HNU.TO,3.43,3.66,6.71
MLOCT.PA,3.0,3.2,6.67
GRIL,1.8,1.92,6.67
JJE,20.56,21.93,6.66
ANVS,3.61,3.85,6.65
MINDP,15.01,16.0,6.6
CGX.TO,15.61,16.64,6.6
TELA,10.76,11.47,6.6
RNGR,3.95,4.21,6.58
NFH,7.6,8.1,6.58
BNKZ,33.8253,36.0395,6.55
TECH,211.18,225.0,6.54
NVUS,0.65,0.6925,6.54
SSG,9.05,9.64,6.52
USO,18.0,19.17,6.5
FHM.TO,19.24,20.49,6.5
MSA,105.67,112.53,6.49
IMBI,2.31,2.46,6.49
RE.PA,108.0,115.0,6.48
OBCI,6.8,7.24,6.47
MBX.TO,0.31,0.33,6.45
ALAVY.PA,3.59,3.82,6.41
TGL.TO,0.78,0.83,6.41
YCBD,0.9056,0.9633,6.37
TAT,0.2265,0.2409,6.36
HFD.TO,16.48,17.52,6.31
BHTG,1.27,1.35,6.3
DGLD,16.89,17.95,6.28
ARAV,12.64,13.43,6.25
PHX.TO,0.64,0.68,6.25
OTLKW,0.16,0.17,6.25
PHARM.AS,1.267,1.346,6.24
AIH,8.35,8.87,6.23
NLS,6.11,6.49,6.22
COWN,10.31,10.95,6.21
DSX,1.77,1.88,6.21
GHSI,0.435,0.462,6.21
TTPH,1.29,1.37,6.2
ZJN.TO,24.18,25.68,6.2
MTSI,28.89,30.66,6.13
GTE,0.3198,0.3394,6.13
ADMP,0.49,0.52,6.12
NE,0.2432,0.258,6.09
FLWS,18.09,19.19,6.08
EWV,25.9887,27.5684,6.08
YY,57.47,60.96,6.07
TRGP,12.22,12.96,6.06
VNOM,8.75,9.28,6.06
HXD.TO,16.17,17.15,6.06
UEX.TO,0.165,0.175,6.06
NWHM,2.15,2.28,6.05
MZZ,14.2871,15.15,6.04
PBI,3.33,3.53,6.01
HZD.TO,5.66,6.0,6.01
CCZ,51.7,54.8,6.0
FUSB,7.0,7.42,6.0
GXGXW,0.5,0.53,6.0
LRN,21.43,22.71,5.97
EPIX,4.2,4.45,5.95
SOY.TO,3.7,3.92,5.95
EDZ,35.11,37.18,5.9
ONCT,2.55,2.7,5.88
BNP.TO,0.17,0.18,5.88
CYAD.BR,8.04,8.51,5.85
MYRG,28.35,30.0,5.82
MTNB,0.7267,0.769,5.82
ELIS.PA,10.68,11.3,5.81
ALMLB.PA,1.55,1.64,5.81
JAX,5.0,5.29,5.8
PDCE,12.28,12.99,5.78
ZSL,29.27,30.9459,5.73
AUDC,28.95,30.61,5.73
TVIX,182.9,193.37,5.72
DLPH,9.45,9.99,5.71
TSG,26.45,27.96,5.71
CAFO.PA,2.8,2.96,5.71
TNX.TO,0.7,0.74,5.71
ELY,13.55,14.32,5.68
BCRX,3.7,3.91,5.68
CLB.AS,17.6,18.6,5.68
GTE.TO,0.44,0.465,5.68
UNT,0.3199,0.338,5.66
PLXP,2.65,2.8,5.66
BOIL,48.31,51.0461,5.66
STKL,2.66,2.81,5.64
SPKEP,21.65,22.87,5.64
DS,1.25,1.32,5.6
ERY,56.55,59.71,5.59
HTFA,23.25,24.55,5.59
SWN,3.06,3.23,5.56
AM,4.5,4.75,5.56
AUTO,0.9,0.95,5.56
AXTI,5.24,5.53,5.53
NLSN,13.96,14.73,5.52
DBO,5.25,5.54,5.52
SMN,22.55,23.79,5.5
IMRA,17.44,18.4,5.5
DNR,0.337,0.3555,5.49
SILC,29.7,31.33,5.49
LN.TO,0.455,0.48,5.49
SPHS,0.24338,0.2567,5.47
DAVA,41.5,43.77,5.47
SAR,15.92,16.79,5.46
MTOR,19.44,20.5,5.45
COGEC.PA,5.14,5.42,5.45
CHH.TO,0.275,0.29,5.45
EDI.PA,6.45,6.8,5.43
FB,194.19,204.71,5.42
HUC.TO,6.46,6.81,5.42
BAL,32.06,33.79,5.4
SOHOB,6.5,6.85,5.38
BHAT,1.12,1.18,5.36
SMT.TO,1.12,1.18,5.36
CZWI,7.31,7.7,5.34
BASI,4.5,4.74,5.33
LTRX,3.0,3.16,5.33
